,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1.0,4.341640139551294e-18,4.492570463028568e-22,2.0104758740130724e-20,3.7372588691142397e-10,0.000516713471846232,7.286484017479655e-06,7.076310038817909e-09,5.9255978838332e-06,1.141666561275534e-06,0.0006031201224810628,0.0004676259591820755,9.455504120120589e-11,9.299598421228557e-12,6.087927571290799e-06,0.0008137523534106284,0.00135472763909753,1.2980804577279746e-05,2.1902266702132033e-05,0.0005733240875181733,0.00021991782677326734,0.00016008283523551633,0.0006649999266638603,0.0029524384444065415,0.018336881718643547
1,1.1804718108318041e-06,1.0,1.0344564212974038e-12,2.968549279080498e-15,1.258718124896506e-06,0.0017424423969430104,0.04428967072227232,0.01445893572730234,0.005653945738442873,0.001922106843077117,0.10210965994617399,0.4813885275334746,2.534106824457395e-08,5.552728346395065e-09,0.0015780334666918763,0.07323024598650547,0.23873526784183674,0.008906788101451029,0.004914766430437993,0.19307389128717062,0.0005868535579722519,0.022689702782013536,0.011310116723520015,0.33814638744477266,0.12824157319180737
2,7.169255795740401e-09,8.696237289761983e-12,1.0,4.431360784356933e-17,2.583717525250987e-07,0.03270505919541022,0.001528869810121679,8.518124016666442e-06,0.006275620377280992,0.00018990632605266143,0.4930935398521106,0.33995333033585334,7.134094967570275e-10,6.939179683865967e-09,0.006385148886145338,0.01056282839616352,0.202860792357949,0.0007625529137915727,0.011711757604775741,0.009472544875554722,0.018868290826213784,0.024171281280589676,0.07549203661183354,0.04015422444499858,0.055119971007664734
3,0.10287770756235597,3.7670837401216206e-06,1.099452339896366e-06,1.0,0.005874997351026532,0.24089591975446056,0.5703173803617863,4.3732114663023786e-12,0.47656144130115186,0.08169857643567711,0.029992885097620353,0.015615368457058736,0.03241277749149611,0.007328384996243368,0.3054381002434221,9.25692306280235e-31,0.31491409020230676,0.04176453509448623,0.025078496418795376,0.11521317068668162,0.00046992490845066515,0.004341161379614849,0.005577310863932679,0.06680632197584062,0.3170983344551107
4,5.042932153652178e-06,5.746469640726653e-14,3.091061191271521e-21,1.0870218099903985e-21,1.0,0.01852373946668769,0.006477095552189019,6.405596238484943e-09,0.00015899839454507002,0.00024611061070765926,0.002647823142142336,0.0402606573948825,3.9955337804828746e-09,2.061041462849307e-10,0.0003215768610117228,0.04098312679044792,0.012434668183525253,0.00011240320681408088,0.00019673119890197072,0.00021064024339944592,1.4906753260455056e-05,0.014596676826950435,0.0005718517845282335,0.008726723886183263,0.006578476894576667
5,1.4733788224435566e-19,2.675487180021113e-26,1.2706707766267753e-24,3.275093593831579e-23,5.900842638708331e-15,1.0,1.754583603963704e-07,4.269609669319092e-12,8.99349258026733e-05,8.286676691412885e-06,0.8489090456701733,0.25036155219626305,2.323101139277317e-73,6.758719490959646e-10,0.0052156693266680295,0.03143995184226921,0.1605934654182139,0.0009651178918399572,0.01499975839258357,0.04424907184760164,2.4459935717200564e-20,0.012884934763777674,0.1424150352955079,0.41547331156987616,0.23214006372835308
6,3.696163485475819e-21,7.677398789942479e-27,7.404097392898774e-27,1.2876314747092199e-26,2.2604781024416325e-23,2.3241877118531e-09,1.0,2.143141926426833e-11,1.6451813201093944e-09,5.6181177016641544e-11,0.0017292958940629208,5.4205064445377644e-05,6.203325211878355e-17,5.2784227602367e-13,1.8610770088773206e-05,0.021500823527277585,0.002753517928658437,1.0915544796393278e-06,5.072355191224534e-07,0.0001340451553039411,0.0010462167229544884,0.004347934414386965,0.004710463447373125,0.0019519938076145835,0.017268930828496603
7,2.790894399003301e-15,5.867166985983877e-11,1.261256287763803e-18,5.987855855058457e-17,2.4564017212044467e-12,3.9986795574439647e-05,5.9653598684606835e-24,1.0,1.5893833888323743e-06,1.0038618753362294e-06,0.4684913078559543,0.057087575358256766,3.0363851101586367e-11,6.770000884071537e-39,0.00030145018514130125,0.13414055069981787,0.2025974976834264,1.6923610089879083e-44,0.0013257277075956037,0.026378514864249473,0.017800671606521545,0.2604867924281973,0.01893052972151093,0.006687354806897461,0.33741672605173245
8,5.36081021676658e-15,1.3225278266509862e-25,7.04180689030549e-18,4.0282636307576268e-28,5.2407705448476935e-18,0.00045133134298318755,1.9565312182868193e-05,8.775385188789364e-13,1.0,7.295770545450553e-07,0.10782766326167764,0.03386837168221598,6.530163347647134e-14,1.0552632353674853e-12,0.0013034288246128647,0.06239855048996391,0.061846600483803645,0.0002991808574862398,0.0024091409880179944,0.014585819582710283,1.540808469431331e-06,0.0005231357828127608,0.004923068253451993,9.002999681681435e-25,0.0033104487574282106
9,2.4590096364824176e-16,6.836849129460873e-20,4.461821891127692e-21,6.250975946643111e-27,3.191124709068397e-17,7.347021073756954e-05,9.443421998636069e-06,2.80058642289021e-08,1.197749093018117e-05,1.0,0.015554038365445508,0.026915911483137097,4.36125137239152e-12,4.61451284507844e-13,0.001511657184240121,0.07912015039864462,0.06776553577022854,7.711056350282979e-05,0.00015257101959329492,0.0025591497262771852,3.3243457165132023e-06,0.0005223037690147603,0.000772995979761829,2.660413345874036e-35,0.1465318153141288
10,7.363772155442846e-43,5.025890118139306e-39,7.536848907603987e-36,7.256639272404152e-33,3.8441199171812036e-32,4.802783307637873e-17,5.354587685029222e-21,6.628429380209142e-22,3.345298558170094e-14,8.196945999234586e-17,1.0,1.8555504168176247e-09,8.028574988916487e-26,6.80351035967207e-16,2.3394246480447895e-06,4.0960171441415193e-07,2.164069320142681e-42,1.7300117810181753e-08,1.1550664758658921e-05,6.526483032230934e-05,0.012299348663436169,0.0005942016296381017,0.001180968150779458,0.0029404105389150745,0.0034142761664542063
11,4.118255700228364e-36,1.881270968078061e-35,3.958680586347338e-31,1.6539350363466748e-30,1.8905246376017963e-28,5.3253899087879246e-12,2.0062970503369094e-13,2.5064793598404653e-18,1.6841680100597978e-11,1.4343367851880939e-11,0.5288260100332582,1.0,2.0025036478875767e-20,4.0837015229688487e-16,0.00014023534083093775,0.002382051349064512,0.22516790447165788,2.00984431688547e-08,0.0004038761163071979,0.005899586231941376,0.00029227914015171857,0.008225293357550262,0.037189773939429786,0.04948186767533616,0.2575404304105845
12,1.0757785371934679e-08,3.21938715790837e-11,1.2420973723144994e-12,1.3091311440914612e-14,1.0071516059194455e-10,0.003289190072033004,0.0028934292264824538,0.00017304476583090934,0.0011884139357760098,3.0481037401900484e-05,0.29985464367424,0.3141296755772631,1.0,7.447757889836574e-11,0.24593738479222205,0.6075082247487082,0.6648620188451944,0.013043442864929033,0.48930532854107023,0.3061768403843021,0.007682533547361877,0.26420550251652053,0.7164452963716197,0.2068233369338168,0.8506718093530992
13,8.683347262046537e-08,1.249946471566361e-12,2.84503994309913e-14,3.238565733096466e-05,1.0196569512535505e-09,1.780325346802894e-37,6.213184849910913e-31,2.4117050313661816e-08,0.0011756245005180002,3.708434254140407e-05,0.2242008165236772,0.040775733865243025,3.0980645708173156e-29,1.0,0.0030749569958243438,0.17265014874228576,0.3153538970082227,0.3349712578857356,0.14095736067846276,0.0165873802765562,0.3368092560365618,0.7098923659756455,0.5207840570186011,0.38609469561756765,0.27625913380497785
14,6.90806469098662e-30,3.0625114753007307e-33,1.1480077953126495e-28,3.206732769299803e-167,6.149911927513845e-33,7.581486010808927e-10,7.972853974402467e-14,1.5559417463037506e-20,1.631945894551722e-15,2.595292766511378e-15,0.0016162301834949798,4.133820498258178e-07,1.963449875423526e-22,9.995547470979837e-14,1.0,3.3915112998946547e-50,0.014976546967306227,4.4146211669259886e-05,0.008839505744867103,0.0007182389093475554,0.00031967066683745985,0.3508465405791427,0.1605987346337976,0.03596269454451715,0.39144314801875624
15,7.619111599208673e-34,3.1823281975563354e-26,1.7670135479568112e-34,1.4180516854002547e-35,7.034113868750318e-29,4.5802717376742114e-18,4.972303818740928e-16,2.0294851837018925e-15,1.462873213150037e-17,2.1011561476649107e-13,4.562848891847554e-05,2.8565901690529737e-08,1.5064181193019686e-20,1.8412284729122328e-31,2.4413726819938796e-06,1.0,0.008828715053584743,7.341914761267344e-10,1.3258858561153135e-05,0.0004890868202489851,0.25843822761053686,0.06357288069915353,0.009653002139434411,0.03719171672190903,0.20823063060610547
