,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63
ROI20,0.34,0.2,0.32,0.22,0.3,0.18,0.42,0.24,0.32,0.34,0.3,0.38,0.34,0.3,0.34,0.48,0.98,0.88,0.94,0.86,1.0,0.44,0.92,0.86,0.34,0.3,0.28,0.22,0.18,0.36,0.26,0.4,0.28,0.28,0.26,0.28,0.3,0.38,0.22,0.34,0.36,0.34,0.3,0.3,0.34,0.32,0.2,0.36,0.36,0.34,0.38,0.4,0.38,0.38,0.38,0.1,0.38,0.42,0.18,0.32,0.36,0.32,0.1,0.26
ROI21,0.16,0.64,0.18,0.16,0.32,0.34,0.4,0.36,0.06,0.26,0.46,0.2,0.22,0.12,0.18,0.3,0.58,1.0,0.74,0.7,0.68,1.0,0.96,0.6,0.14,0.16,0.22,0.06,0.38,0.16,0.38,0.3,0.24,0.38,0.26,0.14,0.32,0.2,0.3,0.26,0.34,0.06,0.3,0.22,0.36,0.08,0.06,0.26,0.2,0.32,0.22,0.16,0.28,0.36,0.24,0.98,0.42,0.38,0.12,0.22,0.32,0.32,0.1,0.36
ROI22,0.2,0.14,0.04,0.3,0.1,0.44,0.12,0.16,0.0,0.08,0.06,0.02,0.1,0.02,0.1,0.08,0.4,1.0,0.34,0.76,0.44,1.0,1.0,0.38,0.06,0.04,0.04,0.14,0.08,0.14,0.06,0.04,0.04,0.3,0.3,0.06,0.02,0.12,0.04,0.02,0.02,0.08,0.12,0.02,0.04,0.12,0.0,0.12,0.0,0.18,0.02,0.16,0.04,0.08,0.06,1.0,0.06,0.08,0.04,0.0,0.04,0.02,0.06,0.18
ROI23,0.4,0.34,0.28,0.32,0.3,0.28,0.44,0.2,0.24,0.42,0.48,0.32,0.42,0.48,0.24,0.44,0.9,0.98,0.92,0.96,0.96,0.6,0.92,1.0,0.26,0.16,0.32,0.22,0.5,0.48,0.22,0.44,0.3,0.24,0.3,0.2,0.32,0.4,0.14,0.38,0.22,0.3,0.18,0.38,0.48,0.22,0.34,0.32,0.34,0.42,0.34,0.3,0.28,0.3,0.22,0.22,0.48,0.38,0.24,0.26,0.32,0.22,0.34,0.4
ROI24,0.34,0.26,0.18,0.34,0.36,0.34,0.36,0.4,0.18,0.3,0.34,0.32,0.34,0.26,0.24,0.4,0.32,0.18,0.4,0.3,0.32,0.34,0.26,0.28,1.0,0.34,0.42,1.0,0.7,0.56,0.64,1.0,0.42,0.28,0.32,0.18,0.24,0.3,0.3,0.32,0.34,0.24,0.2,0.32,0.38,0.24,0.28,0.34,0.38,0.2,0.32,0.28,0.34,0.2,0.38,0.2,0.32,0.62,0.28,0.2,0.4,0.32,0.38,0.26
ROI25,0.3,0.12,0.14,0.28,0.26,0.1,0.42,0.24,0.42,0.34,0.38,0.32,0.2,0.24,0.3,0.3,0.32,0.24,0.24,0.34,0.16,0.14,0.34,0.32,0.58,1.0,0.96,0.84,0.64,0.44,0.5,1.0,0.3,0.38,0.34,0.14,0.36,0.46,0.26,0.22,0.26,0.36,0.1,0.2,0.38,0.52,0.28,0.54,0.26,0.22,0.26,0.3,0.34,0.14,0.26,0.14,0.42,0.88,1.0,0.96,0.48,0.62,0.42,0.6
ROI26,0.32,0.32,0.3,0.26,0.26,0.12,0.26,0.16,0.24,0.48,0.28,0.26,0.3,0.26,0.42,0.42,0.18,0.24,0.32,0.26,0.2,0.12,0.42,0.24,0.6,1.0,1.0,0.9,0.68,0.54,0.58,1.0,0.22,0.3,0.38,0.12,0.24,0.46,0.36,0.26,0.32,0.2,0.26,0.36,0.42,0.52,0.18,0.34,0.2,0.36,0.38,0.26,0.38,0.24,0.18,0.16,0.4,0.74,1.0,0.96,0.42,0.62,0.38,0.48
ROI27,0.32,0.64,0.42,0.22,0.32,0.38,0.62,0.42,0.22,0.42,0.28,0.34,0.32,0.34,0.26,0.52,0.42,0.18,0.38,0.36,0.34,0.2,0.38,0.32,0.82,0.74,0.72,1.0,0.78,0.8,0.76,1.0,0.38,0.34,0.38,0.18,0.36,0.28,0.42,0.36,0.36,0.1,0.4,0.32,0.42,0.4,0.18,0.44,0.28,0.22,0.38,0.36,0.32,0.36,0.36,0.18,0.44,0.42,0.22,0.28,0.4,0.3,0.3,0.3
ROI28,0.18,0.22,0.44,0.18,0.24,0.16,0.3,0.24,0.24,0.2,0.2,0.3,0.22,0.2,0.24,0.3,0.32,0.24,0.3,0.22,0.28,0.22,0.2,0.3,0.92,0.52,0.54,1.0,1.0,0.4,0.38,1.0,0.24,0.18,0.34,0.22,0.24,0.22,0.22,0.28,0.16,0.06,0.22,0.34,0.32,0.16,0.1,0.16,0.18,0.28,0.34,0.24,0.18,0.16,0.14,0.22,0.38,0.26,0.14,0.08,0.42,0.14,0.02,0.22
ROI29,0.3,0.12,0.2,0.22,0.22,0.18,0.3,0.22,0.16,0.14,0.22,0.26,0.3,0.3,0.12,0.26,0.42,0.68,0.46,0.38,0.26,0.62,0.4,0.54,0.96,0.26,0.26,1.0,0.5,1.0,0.54,0.98,0.3,0.28,0.22,0.42,0.32,0.28,0.38,0.28,0.14,0.18,0.22,0.24,0.24,0.28,0.08,0.46,0.18,0.32,0.16,0.32,0.12,0.28,0.16,0.54,0.22,0.58,0.14,0.04,0.38,0.12,0.2,0.24
ROI30,0.14,0.3,0.18,0.22,0.28,0.32,0.38,0.22,0.3,0.24,0.64,0.44,0.34,0.34,0.42,0.28,0.28,0.12,0.34,0.32,0.22,0.32,0.32,0.34,0.96,0.32,0.5,1.0,0.48,0.46,1.0,0.98,0.28,0.12,0.28,0.14,0.24,0.22,0.3,0.28,0.08,0.08,0.1,0.28,0.32,0.16,0.28,0.32,0.28,0.14,0.28,0.24,0.26,0.12,0.24,0.1,0.28,0.54,0.22,0.02,0.36,0.28,0.2,0.3
ROI31,0.42,0.32,0.3,0.42,0.36,0.24,0.48,0.38,0.34,0.5,0.42,0.32,0.42,0.4,0.4,0.42,0.44,0.44,0.42,0.38,0.4,0.2,0.3,0.36,0.84,0.52,0.46,0.98,0.84,0.74,0.82,1.0,0.38,0.48,0.28,0.3,0.24,0.54,0.24,0.34,0.3,0.22,0.3,0.5,0.46,0.34,0.32,0.5,0.44,0.32,0.4,0.44,0.36,0.34,0.36,0.24,0.44,0.66,0.2,0.28,0.38,0.24,0.28,0.42
ROI32,0.06,0.24,0.26,0.14,0.26,0.24,0.18,0.14,0.1,0.26,0.36,0.3,0.16,0.36,0.18,0.26,0.32,0.16,0.22,0.24,0.22,0.26,0.26,0.4,0.2,0.24,0.2,0.22,0.22,0.22,0.32,0.44,1.0,0.28,0.46,0.72,0.8,0.38,1.0,0.96,0.32,0.1,0.2,0.36,0.48,0.24,0.14,0.26,0.38,0.24,0.38,0.3,0.28,0.32,0.14,0.4,0.36,0.18,0.12,0.04,0.32,0.16,0.08,0.26
ROI33,0.22,1.0,0.28,0.44,0.32,0.24,0.58,0.54,0.14,0.34,0.14,0.24,0.26,0.28,0.26,0.24,0.16,0.06,0.24,0.22,0.14,0.1,0.42,0.38,0.28,0.28,0.3,0.28,0.22,0.42,0.3,0.18,0.5,1.0,1.0,0.64,0.66,0.64,1.0,0.94,0.22,0.24,0.1,0.24,0.2,0.14,0.22,0.26,0.12,0.22,0.34,0.2,0.2,0.16,0.22,0.2,0.2,0.28,0.56,0.46,0.38,0.3,0.34,0.42
ROI34,0.34,1.0,0.36,0.72,0.5,0.32,0.68,0.58,0.14,0.3,0.42,0.3,0.2,0.26,0.14,0.26,0.2,0.22,0.24,0.16,0.06,0.16,0.42,0.32,0.1,0.58,0.3,0.32,0.18,0.36,0.4,0.44,0.48,0.78,1.0,0.58,0.6,0.74,0.98,0.94,0.4,0.14,0.18,0.3,0.34,0.2,0.16,0.28,0.22,0.18,0.4,0.28,0.36,0.46,0.26,0.2,0.36,0.3,0.6,0.62,0.32,0.28,0.32,0.32
ROI35,0.3,0.08,0.24,0.14,0.28,0.24,0.36,0.14,0.26,0.3,0.26,0.38,0.16,0.3,0.3,0.22,0.32,0.06,0.32,0.38,0.36,0.26,0.3,0.3,0.2,0.16,0.22,0.26,0.28,0.34,0.3,0.46,0.74,0.36,0.72,1.0,0.8,0.6,1.0,0.96,0.28,0.3,0.22,0.32,0.32,0.28,0.24,0.44,0.32,0.42,0.3,0.3,0.38,0.34,0.3,0.22,0.24,0.3,0.18,0.24,0.3,0.22,0.18,0.3
ROI36,0.2,0.12,0.12,0.18,0.34,0.24,0.44,0.18,0.28,0.34,0.36,0.32,0.2,0.34,0.34,0.4,0.28,0.3,0.44,0.28,0.28,0.2,0.36,0.24,0.34,0.3,0.12,0.22,0.24,0.36,0.38,0.42,0.72,0.26,0.36,0.72,1.0,0.74,1.0,1.0,0.38,0.24,0.38,0.36,0.22,0.3,0.16,0.24,0.24,0.38,0.24,0.32,0.3,0.44,0.24,0.18,0.36,0.36,0.26,0.12,0.34,0.34,0.2,0.22
