sample_id,dataset,mode,split,num_variables,sequence_length,observed_variable_count,hidden_variable_count,ground_truth_edges,predicted_edges,auroc,auprc,f1,accuracy,shd,runtime_sec,threshold,native_binary_f1,native_binary_accuracy,native_binary_shd
sample_00240,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7005041902585515,0.21977167604719372,0.0,0.924072265625,311,235.92023215582594,1.017263174057007,0.3291666666666667,0.8427734375,616
sample_00241,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7183122581522086,0.22613205447851858,0.0,0.924072265625,311,234.68212403869256,1.017263174057007,0.3409316154608524,0.837646484375,645
sample_00242,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7108466743406661,0.2201315921521795,0.0,0.924072265625,311,140.82487245602533,1.017263174057007,0.3391215526046987,0.842041015625,623
sample_00243,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7238048312215676,0.23500298373886225,0.0,0.924072265625,311,156.46624930156395,1.017263174057007,0.34013605442176875,0.834228515625,653
sample_00244,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7396144027660378,0.24750799050890196,0.0,0.924072265625,311,132.82727822521701,1.017263174057007,0.37195121951219506,0.84912109375,603
sample_00245,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.722646510383261,0.23365434773716143,0.0,0.924072265625,311,195.24493932491168,1.017263174057007,0.34353405725567615,0.837646484375,644
sample_00246,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.70150407557332,0.20767234706602225,0.0,0.924072265625,311,226.8459586747922,1.017263174057007,0.3292433537832311,0.83984375,630
sample_00247,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7180565525619407,0.2295915941186451,0.0,0.924072265625,311,180.1090223430656,1.017263174057007,0.34587995930824006,0.843017578125,624
sample_00248,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7124382504980312,0.22809723257737866,0.0,0.924072265625,311,195.43583097681403,1.017263174057007,0.3360160965794769,0.8388671875,629
sample_00249,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7387665815730566,0.24319357141994927,0.0,0.924072265625,311,171.8577646627091,1.017263174057007,0.3689516129032258,0.84716796875,607
sample_00250,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7151779532509015,0.2294733555069153,0.0,0.924072265625,311,218.96153775276616,1.017263174057007,0.3339920948616601,0.83544921875,642
