,X0,X1,X2,X3,X5,X6,X7,X8,X9,X10,X11,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X43,X44,X45,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67
X11,0.625,0.15,0.55,0.375,0.9,0.275,1.0,0.375,0.225,0.85,1.0,0.05,0.1,0.275,0.225,0.05,0.125,0.075,0.175,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.175,0.05,0.1,0.15,0.075,0.125,0.15,0.15,0.15,0.125,0.15,0.05,0.175,0.15,0.15,0.15,0.075,0.075,0.05,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X13,0.1,0.15,0.05,0.1,0.05,0.0,0.075,0.125,0.125,0.1,0.2,1.0,0.175,0.4,0.95,0.05,0.975,0.525,0.6,0.575,0.125,0.075,0.15,0.1,0.425,0.275,0.0,0.125,0.025,0.35,0.175,0.075,0.05,0.05,0.1,0.05,0.075,0.025,0.05,0.05,0.125,0.075,0.2,0.1,0.1,0.075,0.35,0.025,0.125,0.1,0.2,0.75,0.025,0.0,0.0,0.05,0.075,0.0,0.0,0.0,0.025,0.0,0.05,0.0
X14,0.025,0.15,0.05,0.05,0.075,0.025,0.05,0.05,0.075,0.025,0.075,0.35,1.0,0.525,0.975,0.525,0.75,0.775,0.2,0.55,0.05,0.05,0.0,0.025,0.0,0.0,0.025,0.0,0.05,0.0,0.025,0.0,0.025,0.025,0.05,0.025,0.075,0.025,0.075,0.075,0.125,0.125,0.35,0.15,0.2,0.05,0.125,0.275,0.15,0.125,0.05,0.0,0.075,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.025,0.0,0.025,0.0
X15,0.15,0.1,0.175,0.175,0.075,0.175,0.275,0.15,0.45,0.075,0.6,0.4,0.275,1.0,0.5,0.5,0.55,0.525,1.0,0.4,0.1,0.075,0.15,0.125,0.075,0.15,0.125,0.225,0.2,0.35,0.1,0.1,0.15,0.1,0.15,0.075,0.1,0.125,0.125,0.05,0.15,0.075,0.15,0.05,0.1,0.075,0.1,0.125,0.125,0.175,0.25,0.2,0.025,0.025,0.025,0.05,0.025,0.05,0.025,0.05,0.1,0.075,0.0,0.05
X16,0.025,0.0,0.125,0.1,0.05,0.1,0.075,0.125,0.125,0.05,0.2,0.7,0.25,0.3,1.0,0.1,0.375,0.4,0.875,0.7,0.0,0.0,0.05,0.0,0.05,0.075,0.025,0.125,0.0,0.05,0.0,0.025,0.125,0.175,0.1,0.1,0.175,0.175,0.075,0.05,0.275,0.1,0.25,0.075,0.15,0.125,0.25,0.85,0.3,0.325,0.1,0.1,0.0,0.0,0.0,0.05,0.0,0.025,0.0,0.0,0.075,0.0,0.025,0.0
X17,0.2,0.05,0.05,0.1,0.0,0.125,0.05,0.075,0.075,0.175,0.15,0.425,0.65,0.9,0.05,1.0,0.4,0.65,0.775,0.3,0.325,0.0,0.325,0.775,0.15,0.425,0.125,0.1,0.2,0.15,0.125,0.075,0.175,0.05,0.05,0.175,0.025,0.1,0.05,0.1,0.175,0.125,0.2,0.175,0.075,0.175,0.25,0.125,0.1,0.075,0.325,0.225,0.125,0.075,0.125,0.125,0.075,0.1,0.025,0.0,0.0,0.0,0.1,0.025
X18,0.25,0.0,0.05,0.05,0.225,0.175,0.075,0.025,0.125,0.075,0.05,0.15,0.775,0.25,0.625,0.15,1.0,0.2,1.0,0.2,0.0,0.025,0.025,0.0,0.05,0.05,0.0,0.0,0.025,0.025,0.0,0.0,0.05,0.075,0.0,0.025,0.125,0.075,0.05,0.025,0.2,0.05,0.125,0.05,0.05,0.05,0.2,0.025,0.3,0.15,0.15,0.075,0.0,0.0,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X19,0.025,0.1,0.05,0.125,0.0,0.05,0.175,0.075,0.1,0.15,0.05,0.675,0.875,0.325,0.4,0.35,0.2,1.0,1.0,0.55,0.025,0.0,0.1,0.025,0.05,0.0,0.025,0.0,0.05,0.0,0.0,0.0,0.075,0.05,0.025,0.05,0.025,0.075,0.075,0.075,0.125,0.15,0.125,0.075,0.0,0.025,0.175,0.075,0.1,0.05,0.1,0.075,0.0,0.025,0.025,0.0,0.0,0.025,0.0,0.025,0.0,0.025,0.0,0.0
X20,0.225,0.1,0.375,0.1,0.325,0.3,0.125,0.175,0.175,0.1,0.35,0.3,0.3,0.45,0.55,0.45,0.9,0.9,1.0,0.7,0.15,0.05,0.2,0.1,0.075,1.0,0.0,0.1,0.125,0.0,0.15,0.1,0.1,0.2,0.125,0.025,0.125,0.125,0.2,0.125,0.125,0.15,0.05,0.15,0.05,0.175,0.075,0.15,0.175,0.075,0.1,0.05,0.075,0.0,0.025,0.1,0.025,0.05,0.05,0.075,0.025,0.025,0.0,0.0
X21,0.1,0.025,0.025,0.1,0.1,0.075,0.15,0.025,0.05,0.15,0.15,0.35,0.7,0.55,0.925,0.8,0.225,0.375,0.325,1.0,0.0,0.075,0.125,0.075,0.15,0.075,0.0,0.025,0.0,0.125,0.0,0.375,0.05,0.15,0.175,0.05,0.05,0.075,0.125,0.075,0.075,0.075,0.125,0.15,0.175,0.05,0.2,0.175,0.15,0.075,0.175,0.15,0.125,0.05,0.0,0.05,0.025,0.05,0.025,0.025,0.0,0.025,0.1,0.0
