0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2.7492828,2.8033295,2.987461,42.45672,1.6874428,2.1557312,2.7443085,2.37809,42.213245,1.967102,2.4032936,2.3488693,2.393734,2.992176,1.8822174,2.412941,4.6578636,1.821434,2.351757,1.7030792,1.7446938,24.906399,1.833435,3.1190681,3.5576859
1.2825699,1.6374092,1.7439194,0.8705368,1.6447945,1.205471,1.3656349,1.3599892,1.2682533,1.549984,1.1615143,1.1809807,1.3451843,1.3264961,1.2763138,0.93803406,3.8285484,1.9643745,1.206173,3.058712,1.0283318,2.0671349,1.7461624,1.2996521,1.6407509
1.3340187,0.95874405,1.1869354,2.3904,1.0134468,1.009819,1.7828865,1.2522774,2.4564629,1.2443085,0.9927292,1.6317177,1.5038834,0.9652138,1.0132523,1.6560707,0.86063766,0.9179764,1.5810623,3.4280396,0.90457916,14.822433,1.0663376,1.4690895,15.102787
2.7291412,2.644394,2.859745,2.1485214,2.2855873,9.972748,3.0121422,3.1900024,2.6558342,6.5612335,3.7576485,3.2191734,3.2076988,15.289276,3.4007416,3.3935623,7.6854057,2.8392296,3.001667,2.481121,3.2286873,2.6980553,2.929985,3.0169296,2.734642
3.8247108,20.588566,3.102089,2.7620811,2.6779327,12.729683,4.3468513,3.1825676,2.0350685,2.3534927,3.9744415,3.9264336,4.0668297,3.3497162,2.768303,2.8974266,1.8579865,2.602974,2.6291924,1.6543388,2.5966072,2.2413368,3.1807785,2.2635345,1.584671
1.8914261,2.1432533,3.1414146,3.5243492,1.6680756,2.5724297,2.1363106,3.1967468,1.4801979,1.8471642,2.2016907,2.0465202,2.3466377,1.8420753,1.8586998,2.1077423,11.789349,1.8300934,3.1530876,10.781803,1.8616028,2.25663,2.5554466,2.0561905,1.0019836
3.6578941,2.1981964,2.013832,5.0547104,1.520443,2.8419075,5.1826057,1.7871666,1.9319572,1.1157913,4.280884,5.2213936,3.6549683,2.3921661,2.580841,26.729942,27.420467,2.855156,4.5233,1.4767113,2.4697838,1.8539696,1.7125702,1.4595413,4.5815697
2.6376495,2.1305008,1.6742783,2.1992416,2.3010597,1.6575851,3.1135406,2.162857,2.1540794,1.8758736,2.806717,2.9772453,2.9933777,2.2753716,2.2052917,2.6333427,1.8413849,2.120079,1.9158707,2.0588112,2.126171,4.239174,1.6871033,2.2705345,2.855442
3.096035,2.419014,2.3150787,1.9444809,1.9191628,7.634281,2.5560112,2.7043152,2.0434723,2.4563484,2.9591484,3.4382896,2.61792,4.3483467,2.9224205,2.777607,2.4999619,2.5791245,2.833065,2.347561,2.9258041,2.7585716,3.200447,2.9010277,3.105732
1.7109604,1.7327995,1.9252472,1.1931305,1.5530472,1.8027039,1.6687202,1.844799,1.5977325,14.056427,2.1530151,2.0288696,1.9792252,1.8357544,13.1380005,1.9453583,1.5038872,1.718792,1.3131332,0.82689667,1.7060585,1.4294434,1.5611687,1.3932076,1.2615013
2.5856056,2.1843605,48.066616,3.7990303,1.7054672,1.9463043,3.0798874,46.63698,2.104866,1.1680756,4.0399323,2.7314034,2.3291092,1.2550926,1.0550995,1.4294891,3.5075417,1.1557083,1.2548943,5.4337234,1.9095306,8.12273,32.225388,1.2558174,3.3461266
2.1024628,13.991112,1.902935,2.6599007,44.584305,7.730755,2.2510223,2.943882,3.0940437,1.8636017,1.9271469,1.9105873,2.480667,2.2827187,1.8259277,2.7708702,3.8380394,2.2731438,1.7163086,3.4071388,2.0119019,3.2874947,2.786087,3.0335999,2.0158272
2.2960854,1.7047653,1.7589226,1.3250198,1.4892769,2.4125977,2.2699661,1.9531784,5.527012,2.3113937,1.8564568,2.387886,2.2649002,1.4467583,1.7200699,2.4246254,1.7476273,29.313332,2.8740692,15.360516,4.991146,2.0534935,1.5126724,23.069824,2.0036697
1.7205544,1.7308731,1.7006302,1.1202965,1.2678833,1.81036,1.8638191,1.7528839,1.425518,19.968147,2.226265,2.3466606,2.4703102,2.0350647,5.3687057,1.7080154,1.8934517,2.5225563,1.378933,1.3198853,1.6633072,1.5239677,1.6942024,1.8605652,1.6867485
2.716114,1.910469,1.9435463,1.6461105,1.8496971,1.7886887,2.0817719,2.0634232,1.2580795,3.4781227,2.1161003,2.859352,2.2466812,2.016842,2.831829,1.8258286,1.9537506,1.6098557,1.8541489,1.2695961,1.4613304,1.5902138,1.5907631,2.0126839,1.0420799
2.0658607,1.946621,1.4253693,1.3818436,1.4755325,1.4288483,1.7581329,1.3293114,3.0960503,0.8693695,2.3545456,2.8967705,2.541172,1.6375847,1.687561,1.8095741,1.7629852,1.7894363,1.7097397,1.2004128,2.697441,1.8690758,2.2063828,1.7330399,12.415527
0.8489113,0.8912506,1.0411606,14.47953,1.025837,0.76477814,1.2632675,0.89756775,1.1764946,0.7809906,1.4573479,1.4527473,1.3205109,1.2946167,1.214653,1.4105835,1.558979,1.0019112,12.449211,5.571354,1.1252365,1.0296135,1.4165726,1.2994881,2.0966415
