,y,z,w,o,b,c
y,1.0,1.0,1.0,1.0,1.0,1.0
z,1.0,1.0,1.0,1.0,1.0,1.0
w,1.0,1.0,1.0,1.0,1.0,1.0
o,1.0,1.0,1.0,1.0,1.0,1.0
b,1.0,1.0,1.0,1.0,1.0,1.0
c,1.0,1.0,1.0,1.0,1.0,1.0
