,y,z,w,o,b,c
y,1.0,0.8,0.8,0.4,0.2,0.2
z,0.8,1.0,1.0,0.2,0.2,0.2
w,0.8,1.0,1.0,0.2,0.2,0.2
o,0.6,0.2,0.2,1.0,1.0,0.4
b,0.2,0.0,0.0,1.0,1.0,0.4
c,0.2,0.0,0.0,0.2,0.2,1.0
