,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63
ROI35,1,2,1,1,1,3,1,2,3,2,2,3,2,3,2,1,2,2,3,1,1,1,2,1,1,3,2,2,3,1,3,3,1,1,2,1,3,1,1,2,3,3,3,2,1,1,3,1,3,2,3,2,2,3,1,1,2,3,1,3,1,1,1,3
ROI36,3,2,1,2,1,2,2,2,1,2,2,1,2,2,1,3,1,2,1,1,1,1,1,2,1,1,2,3,3,3,2,2,1,1,2,1,1,1,1,2,1,1,1,3,1,2,3,1,3,2,2,3,2,1,1,3,2,1,1,2,1,1,2,1
ROI37,1,3,2,1,2,3,3,1,1,1,2,3,1,2,3,2,1,2,3,1,3,2,3,1,1,2,3,3,2,1,1,1,1,2,1,1,3,1,2,1,2,3,2,1,3,2,2,2,3,3,1,2,2,1,1,2,2,2,3,2,1,3,2,2
ROI38,1,1,1,3,3,2,2,1,3,3,2,1,2,2,2,2,1,1,3,1,1,1,3,1,1,1,1,1,3,3,3,1,1,3,1,1,1,1,1,1,3,3,3,1,3,2,3,1,3,3,2,2,2,1,3,3,3,1,2,2,3,3,3,1
ROI39,3,1,2,3,1,2,1,2,2,3,1,2,3,2,2,1,2,2,1,2,3,2,3,3,1,3,3,3,3,1,3,1,1,1,2,1,1,1,1,1,3,2,2,1,1,1,1,3,3,1,1,1,2,3,2,2,1,2,3,2,3,2,1,1
ROI40,1,2,3,3,3,1,2,3,1,1,2,1,2,1,1,3,3,1,1,2,1,1,1,3,3,2,2,1,3,1,1,2,1,2,1,1,2,2,3,3,1,1,1,1,3,3,2,1,3,1,2,2,1,1,1,3,2,2,1,1,3,1,3,3
ROI41,1,1,2,1,1,1,3,1,3,1,3,3,2,3,1,2,2,3,3,2,3,1,3,3,1,3,1,2,1,1,1,3,1,2,2,3,1,2,1,1,3,1,1,2,1,1,1,3,2,3,3,2,2,1,2,1,2,1,2,1,1,1,1,2
ROI42,2,3,2,1,3,1,3,3,3,2,1,2,1,1,1,2,1,1,1,1,2,1,2,1,2,1,1,3,3,1,3,3,2,1,3,3,1,2,2,1,2,1,1,3,3,1,1,2,2,1,2,2,2,2,1,1,1,2,2,2,3,3,2,2
ROI43,2,1,1,2,2,2,2,1,2,1,3,1,1,3,2,3,1,1,2,2,3,1,2,2,1,2,1,3,3,2,3,3,2,1,3,2,3,1,3,3,1,3,1,1,2,1,1,1,3,1,3,3,3,3,2,2,3,3,1,1,1,3,1,1
ROI44,2,3,2,2,3,1,3,2,3,1,1,3,2,3,1,1,2,3,2,3,2,3,1,2,1,3,2,3,1,1,2,1,1,3,1,3,3,3,3,3,2,1,1,1,1,1,2,1,1,1,1,1,2,3,3,2,2,3,1,2,1,2,2,3
ROI45,3,1,2,2,1,1,3,3,1,3,3,2,2,2,1,1,3,2,3,2,1,2,2,1,1,1,1,1,3,2,3,3,2,3,2,2,1,2,2,1,1,1,1,1,2,1,1,2,3,1,2,2,2,2,1,1,2,1,1,1,3,1,1,1
ROI46,1,1,3,1,2,1,2,2,1,2,2,2,2,3,3,3,1,2,3,3,1,1,2,2,1,1,1,1,3,1,2,2,1,1,3,3,3,2,1,1,3,2,1,2,3,2,1,2,3,1,2,3,2,2,1,2,3,3,2,1,1,1,1,2
ROI47,2,3,1,1,3,1,1,3,2,1,2,2,2,2,2,2,3,2,1,2,1,3,3,3,2,3,3,2,3,1,3,3,1,3,3,1,1,2,3,2,3,2,2,1,1,1,1,1,1,3,1,3,3,1,1,1,1,3,2,3,2,1,3,3
ROI48,2,3,1,2,3,3,3,1,3,2,2,2,2,1,1,3,2,3,1,2,3,1,2,3,3,2,2,1,3,2,2,3,1,3,1,3,3,3,3,1,3,1,1,3,2,2,1,1,1,1,3,1,1,1,1,2,1,1,2,3,1,1,2,2
ROI49,1,3,3,1,1,3,1,1,1,1,3,3,1,1,1,1,1,3,1,3,2,1,1,3,1,3,3,1,1,3,1,1,2,2,3,1,3,3,3,2,2,1,3,3,3,2,2,3,1,1,2,1,1,2,3,1,3,3,1,3,1,2,3,2
ROI50,1,1,2,3,2,2,2,2,1,2,2,2,2,1,3,2,3,3,2,2,1,3,2,2,1,2,2,2,1,2,3,3,2,3,3,2,1,1,3,3,1,1,1,3,3,3,2,3,1,1,1,1,1,1,1,3,2,2,1,1,2,2,1,3
ROI51,1,3,3,1,3,3,1,1,3,1,2,1,1,2,3,1,2,3,1,2,2,1,3,2,2,2,1,1,1,2,1,2,2,3,3,1,2,3,1,3,1,3,2,2,2,2,3,3,2,1,1,1,1,1,1,1,2,2,3,2,2,1,2,3
ROI52,3,1,3,2,1,1,3,3,2,2,3,3,2,1,3,2,2,2,3,3,3,2,1,2,1,3,1,2,3,2,2,1,2,1,1,2,1,1,3,1,2,3,1,2,2,3,1,3,1,1,1,3,1,2,2,3,1,3,2,2,2,3,1,1
ROI53,1,1,2,1,2,2,2,1,2,3,3,3,1,2,1,2,2,1,3,2,1,3,1,1,3,1,3,2,2,1,3,3,1,2,3,1,3,1,3,2,2,1,2,3,3,3,3,3,1,1,1,3,3,1,1,3,3,1,2,1,2,1,1,3
ROI54,2,2,2,2,2,3,2,2,3,1,2,3,2,2,2,3,3,2,3,3,1,3,3,2,2,3,1,2,2,2,1,2,1,3,3,1,3,3,2,3,2,2,3,1,1,3,1,3,1,1,2,1,1,1,1,3,2,1,2,2,1,1,1,3
ROI55,2,2,1,1,3,1,1,2,1,1,1,1,3,1,1,3,3,1,3,1,1,1,1,3,3,2,1,3,1,3,2,3,1,2,3,1,1,1,3,2,1,2,1,2,3,2,3,3,1,1,1,1,2,1,2,1,3,1,3,1,1,1,1,1
ROI56,2,3,3,3,2,1,3,2,1,1,3,2,2,2,3,1,3,2,1,1,3,2,2,3,2,1,1,2,3,3,1,3,3,3,1,2,2,3,3,3,3,1,3,3,3,3,1,3,2,3,2,3,3,2,2,2,1,1,1,1,2,1,1,1
ROI57,2,1,3,2,2,1,3,3,1,1,2,3,1,3,3,3,2,3,1,1,3,3,2,1,2,1,2,2,1,3,1,3,2,2,2,3,2,2,3,1,3,2,3,3,3,2,2,2,3,2,2,2,2,3,3,1,1,1,2,2,1,2,3,3
ROI58,1,1,3,1,1,2,2,1,2,1,1,2,2,2,1,1,3,3,3,1,1,3,3,2,1,2,1,2,2,1,3,1,1,3,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,3,2,3,2,1,1,1,1,1,1,2,1,2
ROI59,3,1,3,1,1,2,1,1,1,3,2,2,1,2,1,1,2,2,3,3,2,3,2,1,1,3,2,2,1,1,2,3,3,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,3,2,2,2,3,3,2,2,1,1,2,1,1,3,2,2
ROI60,1,2,2,1,3,2,3,1,3,1,1,3,3,1,2,3,3,1,2,1,3,1,2,1,2,2,3,2,3,2,3,1,3,2,1,1,2,1,2,1,3,3,3,2,1,3,2,3,2,1,3,2,2,2,2,1,1,3,3,2,1,1,3,1
ROI61,1,2,3,3,2,1,2,3,2,2,3,1,2,1,2,1,1,1,3,2,1,1,2,3,2,2,1,1,3,3,1,2,2,1,2,1,2,3,1,1,3,2,2,3,2,3,3,1,2,3,2,3,3,1,1,2,1,1,1,1,1,1,1,1
ROI62,3,3,3,1,2,3,2,1,3,3,2,1,2,3,1,2,3,2,1,1,2,3,1,2,1,3,3,2,3,1,2,1,3,2,1,1,2,2,3,3,1,2,1,1,1,1,1,1,3,1,1,3,3,3,2,1,1,1,2,1,1,3,1,1
ROI63,2,2,3,2,3,2,2,2,3,2,3,1,1,3,2,3,1,2,1,1,1,1,1,2,1,3,3,3,3,3,3,1,1,3,2,2,3,3,3,1,3,3,1,2,2,3,1,3,1,2,3,1,2,2,3,3,1,2,1,3,3,1,1,1
