0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0.037342902,-0.10427225,-0.07839513,-0.052533604,0.01652607,-0.049167342,-0.014230457,-0.049409218,-0.06929548,0.090893045,0.028504405,-0.05164938,-0.03566163,-0.034447312,-0.049296416,-0.077177264,-0.01364074,-0.04703117,-0.05785132,-0.034403693,-0.0014255142,-0.102256045,-0.05744337,-0.016205605,-0.024817724,-0.05908905,-0.06158729,0.03650482,-0.0019865667,-0.017420264,0.0005110264,-0.056831133,-0.15105951,-0.0052631763,-0.04886401,-0.075149424,0.014252709,0.100317106,0.020801503,0.039820053,0.016307868,-0.055701442,-0.031377908,0.014504446,0.0059423046,-0.06602579,-0.070031084,-0.07231894,-0.03469123,-0.021258304,0.11551977,-0.0027074348,-0.08622902,-0.03424227,-0.032280743,-0.10197322,0.023566477,-0.04985042,-0.08105722,-0.059226952,0.11309206,-0.0113962265,-0.035680838,0.021159982,-1.2616549,-0.29866824,0.17881069,-0.6616612
0.11179128,-0.22070923,0.044024795,-0.1452519,0.037295636,-0.019517355,0.17963046,-0.11540023,-0.0893403,-0.026300149,-0.14959013,-0.114477634,-0.16631475,-0.07808651,-0.03227901,-0.06633431,0.036582664,-0.07857261,-0.109843634,0.09997144,0.04766733,-0.13861986,-0.07602571,0.025170047,0.13735475,-0.135255,-0.20786312,0.2512609,-0.017291712,-0.053617135,0.034432206,0.369078,-0.12987049,-0.18995379,-0.43915084,-0.13246165,-0.05448778,-0.000761752,-0.17651598,-0.34312794,0.018815147,0.0026579832,-0.029117608,-0.010309155,0.015904892,-0.0074593965,-0.047675297,0.018384716,-0.059923705,-0.0057019466,0.44663185,-0.009155885,-0.20524682,-0.18857412,0.0130851725,-0.2312192,-0.009527134,-0.13367335,-0.3493653,-0.454097,-0.18787375,-0.19379242,-0.16075084,-0.20350307,-1.2235416,-0.015349406,0.20178553,-0.6703472
0.28353333,-0.26328182,0.41482434,-0.4331636,0.21790652,0.40970457,0.72072315,-0.3176894,-0.14890526,-0.68990445,-0.53898525,-0.2778592,-0.515921,-0.32735926,-0.24291287,-0.104250245,0.1744411,-0.049749915,-0.10392615,0.3864694,0.42122245,-0.0711822,-0.069665626,0.0274672,0.47969222,-0.18407786,-0.35032964,0.40123802,0.16148868,0.021098008,0.06898413,1.0151486,-0.25851503,-0.822839,-1.0401033,-0.5311858,-0.43950075,-0.260382,-0.41239795,-0.6580715,0.15977828,0.07443124,0.065613516,0.043710314,0.20228004,0.1689835,0.028776286,0.25160992,0.021462543,0.21936549,0.755649,-0.045028318,-0.2949949,-0.07976063,0.15086354,-0.12746175,-0.36412695,-0.39794412,-0.76568,-1.0759653,-0.8780692,-0.8616564,-0.5403791,-0.8411088,-0.93451375,0.100828454,-0.1624611,-1.0154268
0.6500263,-0.17438614,0.9850004,-0.66298985,0.52021146,1.0236038,1.5360402,-0.49545157,-0.22058864,-1.204893,-0.99478567,-0.8119271,-1.2048411,-0.95292056,-0.6138493,-0.12652701,0.14974591,0.06753254,-0.09659313,0.6536195,0.7415328,0.07145773,0.0038393447,0.07530034,0.6402811,-0.1808229,-0.42886007,0.32764515,0.42848262,0.17295408,0.09853964,1.1700695,-0.56851596,-1.3337026,-1.2310584,-0.9937993,-0.805746,-0.5133985,-0.5304424,-0.9104799,0.23632692,0.17417124,0.22798018,0.18579198,0.60543996,0.2336922,0.16179946,0.42743385,0.2427688,0.58939296,0.9343577,-0.06319941,0.121288136,0.10923214,0.66630536,0.2068134,-1.1104113,-0.82590723,-1.108317,-1.3903557,-1.5888202,-1.3705922,-0.8892765,-1.426426,-0.20098713,0.07850145,-0.4395967,-0.7913121
1.0549521,0.07960771,1.3787323,-0.55009294,1.0534599,1.428812,1.7970557,-0.44275582,-0.38720563,-1.2257819,-1.2765104,-1.5119113,-1.7072846,-1.7278113,-0.8466972,-0.22229652,0.08913286,0.124981776,-0.2147487,0.47541878,1.0093466,0.19243562,0.09628336,0.068243906,0.63342804,-0.20059055,-0.43016523,0.104730874,0.5667178,0.13463445,0.19042034,0.8804074,-0.7153336,-1.4036305,-1.006969,-1.2865763,-0.6640837,-0.65717584,-0.63926435,-0.67429864,0.24899794,0.15411665,0.31396198,0.58740205,0.63978225,0.11437493,0.2807587,-0.0019010128,0.6692969,1.103285,1.4776232,0.12568009,0.64302796,0.3086843,0.77652436,0.4207177,-1.499314,-1.082219,-1.2045515,-1.3425175,-1.6961623,-1.6409802,-1.0723886,-1.8227527,0.60284513,0.5669686,-0.48220795,-0.987553
1.5377744,0.4589958,1.5797279,-0.06925531,1.5111377,1.7114769,1.4929093,-0.040712617,-0.58832014,-1.5788885,-1.2736971,-1.9969923,-2.1245856,-2.2122982,-1.2668632,-0.41693258,0.23012426,0.0889732,-0.498193,0.096736364,0.8322585,0.21412797,0.11380941,-0.07634098,0.5374384,-0.27748057,-0.48903826,0.47638732,0.5187177,-0.00097441126,0.2069111,0.7156105,-0.81281096,-1.084391,-0.5964776,-1.1374408,-0.38919637,-0.7294515,-0.29739237,-0.29350024,0.029932478,-0.025890373,0.20143679,0.7434143,0.290753,-0.16325578,0.22277434,-0.08133544,1.2138788,1.4629425,1.8455967,0.44571882,1.2215655,0.8920748,0.6149197,0.6361129,-1.3922209,-1.1682191,-1.0676969,-1.0545692,-1.1766934,-1.5418946,-1.0482957,-1.5565901,0.33659384,1.5954531,-0.2521521,-0.64271086
1.5409633,0.89156353,1.718571,0.41439956,1.8253721,1.7304728,1.4843596,0.4975068,-0.6873538,-1.8336601,-1.435744,-2.1010349,-2.1709006,-2.1668923,-1.657577,-0.68535715,0.25791848,0.44354463,-0.38479683,-0.09931962,0.7443855,0.28820583,0.09698918,-0.11419022,0.43216845,-0.50559205,-0.521322,0.9181851,0.5756678,-0.08733012,0.40368524,0.524823,-0.53096557,-0.35097986,0.016387047,-0.7122164,0.0156024825,-0.5847041,0.19629687,-0.0026346985,-0.3659825,-0.2395904,-0.02158824,0.6358738,-0.055065684,-0.41507995,-0.0053098057,0.06684335,1.79218,1.6006955,2.240395,0.78217727,1.7110419,1.7317966,0.77414054,1.1280702,-0.97786605,-1.1014563,-0.8596302,-0.7208853,-0.4272284,-1.1071563,-0.9106981,-0.8819158,0.45260048,0.8028108,0.070688784,0.24923083
1.3627627,0.89062554,1.6236761,0.63644457,1.7191826,1.4477504,1.559405,0.7880078,-0.63857985,-1.901589,-1.7146095,-2.149075,-1.771967,-2.0344355,-1.9140378,-0.83923966,0.21182616,0.82918966,-0.055616632,-0.29986557,0.5200481,0.58517593,0.32951534,0.06453102,0.34033197,-0.5638605,-0.3694409,0.8711187,0.5849214,-0.017304787,0.44496283,-0.19296953,-0.25216025,0.3908474,0.42626697,-0.276084,0.3170185,-0.44708213,0.5195159,0.2158392,-0.6354689,-0.3796792,-0.21264479,0.17738494,-0.48533636,-0.4080697,-0.26080865,0.12816788,2.2388866,1.626424,2.4304469,1.2444962,1.460854,2.0118966,0.9768384,1.4687438,-0.30763364,-0.86423707,-0.37563217,-0.21572274,0.199146,-0.37731057,-0.6409661,-0.08032558,0.7661777,0.9664048,-0.36601985,1.0284753
1.1040418,0.73783433,1.0561683,0.63552046,1.3793907,1.0670935,1.0112095,0.82131326,-0.4563932,-1.4880078,-1.3007351,-2.083086,-1.1899302,-1.8242826,-1.6619555,-0.778523,0.26047352,0.8815095,0.19815631,-0.3336925,0.6088016,0.66677386,0.7041918,0.04202921,0.011598784,-0.09802233,0.023988014,0.74256736,0.45863822,0.34413868,0.23218814,-0.38854212,-0.03397249,0.66807324,0.5999057,-0.00475117,0.13829657,-0.38206705,0.5032705,0.7125017,-0.7181116,-0.33533242,-0.3168435,-0.16802895,-1.1026156,-0.3936103,-0.39873537,0.047677927,2.0723069,1.5576178,2.024104,1.6736139,1.0209059,1.9448931,1.234816,1.4002733,0.47278348,-0.44718537,0.38126174,0.512585,0.72726136,0.5331012,-0.08338288,0.91778517,0.35142863,1.113364,-0.21739645,1.493388
0.8188317,0.60100585,0.55929226,0.650338,1.1146183,0.76272523,0.46480173,0.7488445,-0.26722762,-0.92182946,-0.47975138,-1.4411125,-0.6771889,-0.9861098,-0.90586257,-0.49319667,0.052406933,0.79197514,0.35462472,-0.15486711,0.60259366,0.7284516,0.8991404,-0.0420157,-0.13724482,0.6526916,0.6905862,0.49122384,0.41616258,0.71632063,0.05774743,-0.0005160821,-0.14752363,0.72243696,0.64687717,-0.10810669,0.18539298,-0.19550867,-0.07379427,0.951737,-0.8060331,-0.26258662,-0.31192574,-0.4612826,-1.4122515,-0.4292077,-0.37893364,-0.18863575,1.7607785,1.6666472,1.5669868,1.9384791,0.78394413,1.8241551,1.3570285,1.2671998,1.0441902,0.27594075,1.08396,1.270494,1.5825392,1.2056117,0.6687573,1.7800096,0.5665351,0.72403276,0.08607906,1.9234933
0.45392743,0.37246674,0.38387483,0.5539164,0.78142864,0.38619822,0.009201479,0.60886484,-0.091194764,-0.14238642,0.7671222,-0.68660134,-0.15076557,-0.27201572,0.058653224,-0.16513743,-0.08764332,0.5597243,0.23276803,-0.011300398,0.36822695,0.60279834,0.9418762,-0.2640415,-0.05383321,1.3638235,1.2986248,0.4005236,0.5086422,0.8244171,0.07762205,0.76849973,-0.48502868,0.6595539,0.45981887,-0.2291642,0.23398368,0.15811916,-0.4952093,0.46498695,-0.87732357,-0.30831882,-0.29411125,-0.73308736,-1.4257772,-0.31630176,-0.3414111,-0.54805267,1.7907242,1.8553975,1.2756072,1.9108313,0.7139786,1.6537749,1.1335489,1.1359202,1.5937774,1.0652282,1.7021266,1.8489445,2.3939412,1.6959049,1.3680068,2.4162033,0.55940694,0.052967306,0.33401784,2.0686977
0.019880297,0.24781893,0.27809027,0.40973207,0.23912436,0.058896866,-0.13434282,0.47503284,0.14686382,0.6681567,1.5870675,0.16037299,0.5826152,0.038810737,0.8859716,0.123829626,-0.3420711,0.24370882,-0.10147221,-0.02727001,-0.054627746,0.43303034,0.8418834,-0.3728941,0.3623351,1.8693583,1.707022,0.8180841,0.78806716,0.76589596,0.25832745,1.1940244,-0.7924319,0.5913696,0.34973815,-0.33381075,-0.12831192,0.35833308,-0.9796329,-0.074776754,-1.0554537,-0.32216865,-0.2805364,-0.8699961,-1.4847584,-0.14291123,-0.30172992,-1.0034921,1.5907406,1.5071131,1.1451992,1.6191164,0.7117794,0.88784206,0.67271346,0.8361219,1.8764843,1.7031056,2.1307063,2.2520294,2.5401373,2.0288448,1.8776584,2.6387532,0.5719554,-0.391294,0.17143224,2.104694
0.020530157,0.25993297,0.026717355,0.30143282,-0.29674727,0.16901986,0.14541005,0.38696715,0.45531857,1.113112,1.6982272,0.92249554,1.4473059,0.3610358,1.270492,0.4248541,-0.64272404,-0.1575571,-0.11294223,-0.07409286,-0.48912972,0.16746725,0.56504905,-0.5117152,0.64242417,2.1517143,1.9587728,0.88811296,1.1550143,0.6709238,0.44178396,1.0919683,-0.87996626,0.490275,0.37997335,-0.6456386,-0.63296354,0.41685054,-1.0959669,-0.37308457,-1.4375875,-0.20194672,-0.20181209,-1.0548201,-1.7748463,-0.22285564,-0.27153537,-1.0697005,1.0718293,0.60562414,0.29868644,1.0257436,0.4676478,-0.11177181,0.16476299,0.30327374,2.124626,2.1079903,2.3459897,2.4118288,2.6575227,1.7669882,2.1832457,2.2041054,0.76239663,-1.2333151,-0.078219585,1.2518423
0.27806008,0.13683116,-0.20382574,0.30881235,-0.45480996,0.22737098,0.5694868,0.33966509,0.6129771,1.4649884,1.8313745,1.5452298,2.1525571,1.2988539,1.516763,0.64495546,-0.6892741,-0.6036379,-0.3482514,-0.4850597,-0.86852956,-0.32311165,0.10829534,-0.5826641,0.7970933,2.0257607,1.9669285,0.8627651,1.3062391,0.84866774,0.85916317,0.672532,-0.9615303,0.11454495,0.39486977,-0.7702017,-1.1761281,0.29260805,-1.1909928,-0.31827852,-1.722059,-0.031153865,-0.08270341,-1.2845931,-1.859021,-0.3106449,-0.28494143,-0.9215801,0.23429987,-0.59924984,-0.66187733,0.47640064,0.06485907,-0.63008726,-0.29212913,-0.36122358,2.2061996,2.2765582,2.1912615,2.1468067,2.3008916,1.313806,2.1975935,1.9055246,0.6914992,-1.5426862,-0.45117313,0.6058524
0.44761443,0.26588893,-0.18997537,0.41074532,-0.29820946,0.13626656,0.3859973,0.36716512,0.5788267,1.8245234,1.7559605,2.178935,2.2504203,1.8920476,1.7070498,0.7527134,-0.88478243,-1.0790045,-0.55932915,-0.9135658,-1.2592934,-0.9276802,-0.46683213,-0.7706753,0.9690517,1.5456426,1.7359488,1.1560489,1.136398,0.8418562,1.2759867,0.43917525,-1.3263233,-0.09346821,0.4062579,-1.0961593,-1.716284,-0.08000848,-1.3840526,-0.37335777,-1.5775844,-0.06683746,0.0062425616,-1.5654073,-1.8421282,-0.27917048,-0.26880097,-0.91021377,-0.5977094,-1.3848076,-1.1441816,-0.1569102,-0.4290955,-0.9663559,-0.8622953,-1.0867223,1.7982328,2.2135978,1.6609142,1.5497968,1.4876946,0.9611915,1.8597811,1.7665956,0.6713671,-1.23221,-0.5771703,-0.20346907
0.31976774,0.51439786,0.008740315,0.42221987,-0.08860449,0.064039014,0.35342377,0.43567368,0.44417888,1.9898901,1.8284336,2.2619095,1.775429,1.9471025,1.4370313,0.7349715,-1.1043944,-1.3198615,-0.6781494,-1.3633935,-1.5255071,-1.3298213,-1.0431288,-0.77436477,0.98683864,0.88926244,1.1955625,1.1690693,1.122063,0.79856205,1.3821828,0.44643253,-1.7326701,-0.071967095,0.37050763,-1.4319342,-1.7983967,-0.6797385,-1.403102,-0.5950254,-1.13317,-0.2705645,-0.10415349,-1.5612159,-1.6036289,-0.4055965,-0.34033114,-0.75892204,-1.1669977,-1.5356815,-1.7142766,-0.86133814,-1.0702596,-1.4420549,-1.4018441,-1.5524648,1.0002282,1.7339042,0.88067096,0.796658,0.5744827,0.51000035,1.2030896,1.3977147,0.4542285,-1.0023819,-0.91866094,-0.9484581
-0.024131885,0.4627419,-0.1344566,0.46855536,0.13999484,-0.18185544,0.35200283,0.44632083,0.16018495,1.5728319,1.4994483,1.7983973,1.3229165,1.9098493,1.1063174,0.50846696,-1.0998183,-1.2192367,-0.7658793,-1.4759299,-1.1902603,-1.4988037,-1.4379693,-0.7875618,0.9417678,0.16183233,0.46768045,0.780815,1.2358632,0.7858522,1.2815416,0.68913466,-1.980512,0.04169641,0.35323,-1.4858738,-1.4629838,-0.98471236,-0.8928906,-0.79213804,-0.6731835,-0.52543545,-0.37592918,-1.273172,-1.22785,-0.53311354,-0.55673945,-0.8005796,-1.5811319,-1.7936727,-2.0009234,-1.257937,-1.697164,-1.4212018,-1.8757116,-1.7121938,0.024663713,0.9497365,-0.057592966,-0.15616363,-0.5770911,-0.2883919,0.39542344,1.067167,0.20306498,-0.6619003,-0.97922796,-1.2121308
-0.12412322,0.21668759,-0.091398,0.39479336,0.16001052,-0.46578828,-0.02811429,0.3793872,-0.27542856,0.753662,0.97959536,1.4059216,0.835061,1.4983767,0.8819955,0.14083418,-0.84426343,-1.0548712,-0.9575103,-0.80970675,-0.5051364,-1.3780237,-1.4559546,-0.68745506,0.5905112,-0.5298933,-0.31398338,0.38568544,1.1377665,0.506967,0.91553795,0.09435001,-1.8098794,0.026738608,0.2636283,-1.0714203,-1.1703174,-0.9609875,-0.16540755,-0.7819212,-0.43674862,-0.7761658,-0.67660075,-1.0626875,-0.73983073,-0.6980922,-0.77999127,-0.9939778,-1.9235634,-1.9457357,-1.8282702,-1.52108,-1.9148515,-1.1835376,-2.0974925,-1.5628693,-0.9380322,0.042944413,-0.9556679,-1.0027539,-1.6361612,-1.0370175,-0.5111408,-0.102361806,-0.2982063,0.079183385,-0.7737951,-1.8517733
