,y,z,w,o,b,c
y,0.8097816705703735,0.8128881454467773,0.8269482254981995,0.5452362895011902,0.3357471823692322,0.3934011459350586
z,0.8464422225952148,0.7734168767929077,0.7791751027107239,0.5396670699119568,0.29395216703414917,0.3525591790676117
w,0.8340425491333008,0.6863934993743896,0.6989088654518127,0.5513937473297119,0.2936113774776459,0.34590858221054077
o,0.2639515995979309,0.25647109746932983,0.2655890882015228,0.8213897347450256,0.8160061240196228,0.5555638670921326
b,0.24568694829940796,0.24648183584213257,0.25745871663093567,0.8079851269721985,0.8246170878410339,0.5948213934898376
c,0.23011036217212677,0.23528769612312317,0.24869053065776825,0.3572385907173157,0.5219911336898804,0.768646776676178
