,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
x0,0.0,1.2214745240029035,1.3322245838420355,0.32693244519902254,2.040471567171967,1.6865852185850252,1.870834222509341,0.9351327367977573,1.5297127339578618,1.2931701736924592,1.5972321270397334,1.5861641731143399,3.175226799881067,2.175141354120846,1.6044793601491263,2.331927080656065,0.6374659176746139,3.736521700862196,0.7262840460933608,1.3968714749057993,1.3153427029037235,1.006858097303055,1.5525124924505807,2.37954675641515,0.568599605540073
x1,0.2184124599677358,0.0,0.6198022441388832,0.792523660565555,0.6357421788847535,0.3673709486601766,0.583604267704916,1.1528695455592752,0.06097006191146403,0.5622357093370786,0.26910331866612924,0.0862426602318542,0.3780597941021072,10.652369375994214,0.30812062619781816,0.3094730327852815,0.5026566552462901,3.3638871806648813,0.8686006284386385,0.521085521005133,0.7823170526521344,0.8539396541564046,1.6556328723433664,2.370367351453291,1.2527114931581833
x2,0.3884335175108676,0.4983950312273408,0.0,0.27227087888107243,0.6545748256161201,0.3179214869172099,0.2754995504942362,9.201709114994827,1.134874678047509,0.5611005660030759,0.251087519190695,1.046022861646821,0.6222739070507383,0.448165876957193,1.0759391212932448,3.0371971385167544,1.6682971721675983,0.24778180181313464,1.116063999034049,0.5519407588942827,0.2187285161032232,0.8963921245232762,1.0197486912794846,0.3696919533863763,1.1075439110739072
x3,0.4050888428451129,0.5394328819446493,0.37599406737612445,0.0,0.3844196442246474,3.1195429510885653,8.019292816663947,73.33750728052934,0.09258200992014641,0.05618753411064206,0.24676808265593225,0.35073674809319655,0.6329977207645376,41.03542626881107,0.2180675070592481,4.549826636773604,0.5034936015957621,17.956846446304194,0.004295784247299619,0.15779713695965902,0.32080487252037904,0.12686788944483923,0.0385104633215262,0.0302506232918011,0.04746458752510199
x4,0.593933100584058,0.05425843403140675,0.3377351883532627,1.799477203271372,0.0,0.10368305021302403,0.15123813690524326,1.8007351865646708,1.6892563001643135,0.5024260158640893,0.1390640111770892,0.7538682178878525,0.8993411217502777,0.5703013627269032,0.5599696310075932,0.14859428445326764,0.4448059560107804,1.108962918681605,0.7559325360896928,0.8991083479981243,0.35576816104125436,0.3120782087134342,0.4687835404040154,2.057177051851036,0.8329735645043497
x5,0.3844409871334102,2.3059654676175105,0.5300475412062311,2.0437054822052785,0.043831450360611215,0.0,1.6663053889219543,4.455487412945244,0.4222002688910044,0.2233668727271693,0.42420655653762784,0.6898075594850696,16.50812619397626,5.6365865614035044,0.3796740188436597,3.189618743103434,11.626353021257883,4.80110317235839,0.5147714161910454,0.26348422704829033,52.848578607397656,1.273860926505465,1.5677077213133306,3.028758036424172,0.8240591706724247
x6,0.3365287350629527,9.662041277975295,1.1335870687661624,1.817019684010334,0.528663831481223,0.9319550158107822,0.0,13.479774233676483,0.36856857707415935,0.7256153587943472,1.094731798428981,0.7958414692852573,3.76643846654142,2.125188683480751,0.5898933933194426,8.541911092689382,4.120424019260523,0.3464365483236722,1.5215298995418027,0.6040010965088943,1.123273962696611,0.8244920974024812,0.8163426252966015,1.246731495212266,0.9307403719393396
x7,0.2096300459032896,3.1037691554760807,0.21730621605896544,0.7819916023105414,0.14835821262066415,3.5963184490753575,22.33876593906686,0.0,0.21422204042719645,0.8135251275052602,0.21324166996787378,0.20131059253202876,0.8089131490835816,72.9778911777734,0.4057869313649481,2.1702384051683516,0.7512399868433752,72.2200852003718,0.18938430716585247,0.2573959400564211,0.9125889938486593,0.2720976188692914,0.7905912915018779,0.0027453109872226863,0.3315473846239197
x8,0.4348392023807639,0.6627234400069627,1.372562826132547,6.423632401850429,0.12096335918478145,0.055595630716340355,0.6211678052674899,4.218712239055873,0.0,0.5017035087394893,0.5932746903527143,0.5291766799957386,2.0320854838494697,4.842407482458336,0.42890344872596653,1.5924408298567694,2.6899146007187182,1.5222398242545916,0.22266241675647752,0.3746518577956758,0.9155851426776631,1.0336320352548802,0.429372827850548,60.48846100428773,1.983712198750701
x9,0.6486841676000541,0.38560404307508306,1.9012302214690548,10.348725736722562,0.2745417996093745,0.30823653318929356,0.8386526180387066,2.091937623359121,0.4793282253431365,0.0,0.20038453530216127,0.4487524835689856,1.8737175623166114,1.4277651381677978,0.5119331175640701,2.0653333970463357,0.3375588120300988,0.7535734126406093,0.04972556956368681,0.5582162656068175,0.27706615889108743,0.5027749176767318,0.5153790002239894,90.07466696307108,0.3451344331954317
x10,0.6598788184767296,0.17195597562267434,1.0343055418773706,3.5059267505348033,0.3120345084019334,0.7734022560719235,1.1242465220451012,0.07915593771201963,0.6373557511044359,0.7560611515202096,0.0,0.6313487323152871,0.4667141249751722,3.9118565671691985,0.5421269214385815,0.893046659600303,110.92597547654023,0.8046557482202462,0.157784535845299,0.27132914406824893,1.6086773389151328,0.42102772869456334,0.5017232021255774,0.6839872489439932,0.7765317248108171
x11,0.1996541784942418,0.3271964767669257,0.06394770394565347,0.4620574274555761,0.3292212778975615,0.09322852134823659,0.21227041852717654,0.4484890175452026,0.5613847232243396,0.5354546713707942,0.40303744960810967,0.0,0.06765769786062863,0.5426047095440938,0.35548589777190326,0.3538794966274714,1.6087973004572869,0.250410901571886,0.262157376877644,0.6264683440309876,0.20870265649979727,0.4154461015155716,0.2840886455395794,0.9632748750192172,0.14081395649229167
