0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.08362343,0.08701468,0.08446626,0.079608575,0.079033755,0.08951782,0.079991214,0.092450075,0.03960124,0.019024573,0.014705093,0.010386676,0.0059994715,5.529428e-05,0.022932671,0.03325703,0.052999683,0.068425216,0.052336387,0.038346328,0.04689061,0.04801746,0.06458173,0.042681165,0.059485577,0.06975211,0.06119126,0.08334609,0.061746243,0.070064954,0.067994505,0.053883065,0.010946484,0.06657138,0.077944234,0.023023464,0.030866427,0.055408753,0.011124763,0.02092167,0.014283004,0.008356954,0.016650157,0.0035725264,0.000107578504,0.008115648,0.025102995,0.005341691,0.01969068,0.018472245,0.022987401,0.034216106,0.029529415,0.0156169105,0.023420945,0.049350914,0.013053046,0.062307555,0.053120613,0.048096247,0.020529695,0.0021516676,0.052202463,0.014241955
0.08760975,0.08171166,0.09074642,0.08861697,0.084842846,0.091403395,0.086980656,0.09614144,0.03586089,0.009463626,0.00033336194,0.0042856536,0.012333449,0.0082898615,0.0207428,0.056110002,0.05624393,0.06764729,0.05200187,0.04260724,0.05248808,0.06887209,0.05886206,0.07308663,0.046676543,0.07117593,0.07545389,0.07162338,0.052802343,0.04974707,0.06351368,0.0431931,0.05016553,0.09585325,0.08420516,0.043056488,0.03188697,0.07032475,0.022374338,0.054046497,0.006545133,0.051753692,0.045293882,0.0071961572,8.548047e-05,0.035561137,0.039404728,0.025070494,0.014474912,0.013222624,0.003949115,0.03214046,0.011692748,0.010121158,0.03733312,0.05988862,0.021585908,0.06588124,0.053217683,0.052153446,0.02312656,0.034843076,0.068902664,0.03820954
0.06564533,0.09595055,0.07929471,0.08177513,0.09881058,0.08506432,0.07338284,0.07915911,0.006707674,0.03051507,0.022367803,0.01902399,0.010102252,0.0212811,0.021233728,0.0416536,0.061230525,0.046162806,0.04560169,0.042716697,0.04900299,0.053360794,0.070674844,0.045189615,0.066182725,0.06102613,0.061900888,0.084234245,0.0707469,0.05388474,0.06907522,0.06716055,0.023317259,0.08777226,0.07511862,0.012032439,0.0046580466,0.052899715,0.008790964,0.013666277,9.118062e-05,0.012362974,0.017116653,0.010675147,0.0035440496,0.0028461686,0.02372125,0.014897937,0.01720595,0.009675698,0.011856965,0.022286857,0.01676823,0.009695598,0.02987843,0.06522018,0.027257005,0.058742948,0.039575946,0.040189702,0.007832626,0.008384366,0.04775504,0.01736614
0.08414278,0.07179748,0.09395142,0.09860362,0.08543848,0.07947514,0.08737276,0.07532208,0.041903734,0.017852515,0.0064108637,0.0048382627,0.028219867,0.0040171184,0.046508744,0.06306195,0.051944222,0.07302635,0.05122048,0.055688407,0.04544227,0.07453915,0.06797593,0.06599376,0.05163885,0.065109655,0.06696931,0.05898456,0.032163896,0.04683125,0.057434455,0.041828338,0.04135484,0.08379986,0.08023351,0.035412986,0.026130987,0.07634965,0.02964219,0.03318481,0.015244188,0.036539465,0.053949647,0.018898664,0.00081739464,0.036063768,0.05427783,0.027439613,0.020137683,0.0078079863,0.004884319,0.028206374,0.011230957,0.0029652012,0.026195189,0.077052504,0.034805194,0.0646321,0.05575408,0.04630411,0.03659891,0.03422103,0.052674033,0.017957946
0.08928227,0.07528251,0.09240809,0.07614281,0.07352017,0.07656167,0.08182732,0.08404522,0.012808682,0.02416168,0.037540045,0.027175773,0.023107862,0.013183887,0.027721653,0.020938484,0.07047067,0.06494282,0.048278503,0.059870522,0.056347545,0.07280904,0.049518693,0.04617569,0.06457245,0.0605281,0.058787417,0.082360566,0.05380552,0.06730024,0.055986434,0.07334394,0.0028166615,0.04761287,0.06925841,0.0008290555,0.009865751,0.03463098,9.4040886e-05,0.015676882,0.001170643,0.012340822,0.0123124905,0.0026584023,0.00037030148,5.084339e-05,0.0042777467,0.0026696832,0.0019499987,0.017099785,0.008338383,0.026351037,0.00836246,0.009799284,0.028327912,0.05285254,0.016092384,0.047709845,0.041734982,0.048889454,0.02273137,0.0072793537,0.05029516,0.012745148
0.09305842,0.0758232,0.089928314,0.08324067,0.08548708,0.08458724,0.07878473,0.085182026,0.014742973,0.013540126,0.020227544,0.019106532,0.04076425,0.009600731,0.025273139,0.023874454,0.08145545,0.071605004,0.060235742,0.06356594,0.055960022,0.070795685,0.06905119,0.059201248,0.057861894,0.06379615,0.08044274,0.06737879,0.07560959,0.08214309,0.047367662,0.06640275,0.012086087,0.073346965,0.07195409,0.02402455,0.00939173,0.039304834,0.02097245,0.015664207,0.0067603895,0.022682037,0.016924968,0.009758437,0.00015811205,0.014592187,0.017805887,0.007076424,0.019224655,0.00873938,5.8248235e-05,0.013258922,0.0053640236,0.022750366,0.02952832,0.064382,0.019481367,0.06345245,0.03824851,0.050418936,0.023775717,0.01748212,0.043972142,0.01656204
0.086739235,0.09293143,0.08769608,0.09991154,0.087789804,0.09424094,0.08674386,0.06966313,0.03333145,0.02084775,0.014483944,0.023861812,0.024949795,0.025023557,0.015400692,0.039234124,0.052823965,0.07935386,0.05480689,0.05459547,0.046957955,0.07043596,0.05735708,0.043840628,0.07771627,0.069787785,0.07509353,0.073517404,0.048700392,0.056883477,0.061661217,0.06689739,0.01564165,0.08162808,0.060242426,0.015150143,0.015846834,0.06382911,0.031234797,0.02734686,0.012259169,0.02383739,0.023464616,0.015100926,0.0015216909,0.009091115,0.024970148,0.01831766,0.00035203784,0.007953997,0.002855025,0.011713305,0.009598473,0.017636113,0.012109851,0.05896771,0.05207911,0.06313157,0.06979152,0.045682773,0.030059842,0.024629368,0.06654048,0.035579275
0.097319156,0.08147515,0.09054875,0.096340895,0.07483403,0.0887647,0.08438507,0.08722855,0.054273162,0.006033644,0.0025163745,0.0016269068,0.006672974,0.013153336,0.020627603,0.045188222,0.05693886,0.059614323,0.03640509,0.07715078,0.045753874,0.07460038,0.06902988,0.05088065,0.06917914,0.07156982,0.088165574,0.071175,0.04642333,0.048546456,0.044233657,0.033681422,0.028583366,0.079156384,0.082537435,0.033118963,0.025594728,0.0701116,0.025615064,0.027726647,0.006316982,0.04724663,0.052970275,0.016102426,0.008285192,0.029669233,0.055855297,0.013190196,0.009976691,0.012435076,0.0014399192,0.025359467,0.011691352,0.009781119,0.02904387,0.066730626,0.027673293,0.044017304,0.047334686,0.058784854,0.016568882,0.036771957,0.060461074,0.022525532
0.06521592,0.057600386,0.042782843,0.04434913,0.031571332,0.04883371,0.039304134,0.0490361,0.08431072,0.07365514,0.060435906,0.08033068,0.07108787,0.082853384,0.08588226,0.093490936,0.03151252,0.039325234,0.021021461,0.019198006,0.020602036,0.04111724,0.042344067,0.027067665,0.018434495,0.067504354,0.04795601,0.03530178,0.032480586,0.020835483,0.027004499,0.01690023,0.0567713,0.066680774,0.06612408,0.06662861,0.055220272,0.0598283,0.038664162,0.046856344,0.06698194,0.085167825,0.08515773,0.08039017,0.06369121,0.073152855,0.08048551,0.0735702,0.02840761,0.016355818,0.012403526,0.0689376,0.016605083,0.012362135,0.060361627,0.022087874,0.031753443,0.075637706,0.07290511,0.0664666,0.056768283,0.07238093,0.08133935,0.03314017
0.011490511,0.04096571,0.02479137,0.035371464,0.01591474,0.01959388,0.042024303,0.023697201,0.09883813,0.07808423,0.11237367,0.09577608,0.07460729,0.08926205,0.07432932,0.080087475,5.621222e-05,0.003863532,0.015397596,0.006337478,6.2809675e-05,0.015009597,0.00783493,0.017986618,0.049720876,0.06423112,0.058182456,0.033426832,0.0458123,0.04586376,0.05111042,0.04568036,0.043865945,0.038485784,0.020074973,0.014184856,0.032240525,0.03894556,0.020111158,0.018987622,0.05537832,0.0802755,0.075987116,0.072513655,0.07271113,0.07223778,0.07055256,0.0588879,0.045248073,0.031313855,0.010900526,0.024411097,0.03508352,0.015687145,0.04028779,0.007146304,0.016255371,0.045531992,0.047360137,0.0489697,0.030395119,0.05255808,0.060647275,0.03204471
