dataset,lag,replicas,mean_auroc,std_auroc,mean_auprc,std_auprc,mean_runtime_sec
nc8,16,1,0.5860058309037901,0.0,0.16398455813480445,0.0,0.11211357126012444
nd8,16,1,0.6382978723404256,0.0,0.2969173042399587,0.0,0.03251823876053095
finance,5,1,0.5539655172413793,0.0,0.05902199736457205,0.0,0.07262478210031986
